estimate,|[87.67341027887576, 86.04875332200241, 87.36661961188295, 87.57501747231215, 87.28041029259698, 83.57933880574085, 87.49158511885534, 86.87119321778538, 86.90896458137337, 86.61279079209059]|
samples,|[25, 50, 75, 100, 125, 150, 175, 200, 225, 250]|
