estimate,|[48.917095591432314, 48.13266792116303, 49.889309876366, 49.155950972272, 49.71647302530442, 48.30497506596364, 49.44788747675887, 48.1820606762126, 48.953191169975035, 48.60373938439337]|
samples,|[25, 50, 75, 100, 125, 150, 175, 200, 225, 250]|
