estimate,|[100.33597904928959, 97.23040033404004, 99.07866473283663, 98.26152857817365, 98.367430811405, 99.77624201247738, 98.02409637943484, 99.02469495157972, 100.28912178186445, 98.88174110669843]|
samples,|[25, 50, 75, 100, 125, 150, 175, 200, 225, 250]|
